Word,Score
foyer,4.717993574
stilb,4.799938209
oaths,5.27039595
kayle,4.933091197
tules,5.604580326
whata,3.706243867
ursae,5.564733597
dinge,4.781650389
inker,4.743853173
mutes,5.316298211
breem,4.207372641
chins,4.765713967
carat,4.604155953
arvos,5.090985146
sarus,5.089936058
revet,4.251934532
paver,4.816910097
timid,3.833658773
treen,4.775271107
backs,4.680753927
buffs,3.417591527
repot,5.109032938
ackee,4.282040504
heedy,3.955035419
solos,4.254980813
rurus,3.753516202
coxib,3.670945935
luach,4.439395764
calms,5.193911986
lipin,3.851163341
gripe,4.842598392
gauss,4.585470463
lurid,4.821287874
ninon,3.353499435
enfix,3.626943347
miler,5.195117828
earns,5.884742021
crees,5.033549876
pratt,4.330914133
retax,4.765670254
fuzzy,2.357179928
spado,5.044911577
douar,5.081140981
daven,4.745834116
axiom,4.09015999
briki,3.552156809
metif,4.487467536
lolls,3.91152096
jager,4.54096744
sprad,5.222601409
slubb,3.810111076
lames,5.767210992
cacao,3.572563498
dawah,3.689307293
titch,3.625196702
tamal,4.350863064
lilts,4.662856161
kiddy,3.381861479
civvy,2.983377898
aswim,4.394869155
raser,5.128135232
sippy,4.02528269
hires,5.646039479
defog,4.21812144
gungy,3.296540748
grass,4.744365837
igloo,3.725517455
tatty,3.472014883
hards,5.332909267
suits,4.722783792
pyral,4.747830022
stoic,4.988178406
foray,4.739557639
tronk,4.658811011
trews,5.137656853
peavy,4.415006331
ponts,5.201468988
fundy,3.824999656
hefty,4.179621497
wince,4.539951338
zippy,2.911248206
wyled,4.357428478
imply,4.007366656
smelt,5.189270604
slime,5.413904988
lande,5.336757034
caums,5.036200755
cunei,4.861785661
nimps,4.752378084
folky,3.990654293
palmy,4.552639061
fraud,4.484462276
kloof,3.376841173
girns,5.174881854
divos,4.710312041
erevs,4.284098961
blade,4.974403318
llama,3.420111276
levis,5.079862654
tride,5.24700344
adunc,4.322651233
excel,3.473372028
prill,4.06747682
bogey,4.540487394
micht,4.098325993
gaita,4.376233867
trugs,4.931432398
suave,5.076668658
bizes,4.72567031
whows,3.691126297
pauls,5.314698546
swang,4.55552556
atmas,4.56013874
krais,5.409933179
paren,5.471184683
chile,4.778052382
polts,5.263663568
aumil,4.735495663
akees,4.898541347
byded,3.664161705
skatt,4.372949635
hynde,4.412599515
lyted,4.767954202
spang,4.766386271
tills,4.678853846
recap,5.00622445
krunk,3.539231808
phage,4.617188609
gnows,4.443402897
dizen,4.401743551
churl,4.224375209
ramus,5.331394897
maire,5.525766345
tholi,4.659800643
teaed,4.892923402
lingy,4.340653429
gadjo,3.918654891
fount,4.349152323
tumid,4.427397977
glike,4.604422804
syver,4.781826597
jocky,3.403449823
wingy,3.868313856
empts,4.82177888
laics,5.48511906
deair,5.487154806
bores,5.689713765
perky,4.568193235
blend,4.56619309
thump,3.823211217
roker,4.353815127
dally,4.16363411
avion,4.455136914
lucre,4.917978745
scuba,4.606202584
berth,4.735494268
rooty,4.285137955
lapis,5.459985342
hoved,4.316184384
teach,4.911003287
scatt,4.495003346
yelks,4.964353023
bania,4.305783872
oncet,4.894934998
cills,4.457610236
sorda,5.570613732
pomps,4.130441202
milty,4.546451268
ronin,4.362955436
lamps,5.119130842
derig,4.922380677
ulnae,5.193977818
domic,4.372194182
arepa,4.542193562
kores,5.645714834
cuish,4.487211209
bonus,4.941442587
hexed,3.516254335
sling,4.849697166
shoji,4.227757425
gushy,4.053943673
avert,4.771946438
poets,5.492859827
spane,5.506917778
coset,5.4212217
venue,3.909371294
wrapt,4.527367181
purse,5.213418993
shewn,4.578439748
yetts,4.56460617
twite,4.079674797
camis,5.264209635
dural,4.975022647
canns,4.637054212
kofta,4.325007864
mucro,4.388323757
perdu,4.720590047
stond,5.033754431
capon,4.715284838
magot,4.682081297
crake,5.033972903
neive,4.0868678
socas,4.887174181
metol,4.992868648
dynes,5.181226013
gemmy,3.580065076
lanks,5.227227486
dales,5.882367242
slake,5.488912485
quail,4.15575169
fades,5.324648238
lakin,4.81624404
chado,4.446092474
roger,4.40949379
eclat,4.966437865
redry,4.18976329
ranga,4.294501262
fores,5.518410129
wagon,4.356160884
dobro,3.929726766
atigi,3.892183994
sutra,5.417748479
mangy,4.392042875
bundu,3.292621939
briks,4.803884399
judos,4.300633123
gynos,4.724454726
cocas,4.6376056
deeve,3.237430899
nurrs,4.48773827
coomy,3.687429739
dolci,4.627103996
blahs,4.90096696
dobie,4.932200282
barye,5.1123892
mosed,5.214444194
craps,5.220569221
coupe,4.744585396
aroba,4.270523614
donna,4.276322722
imshi,3.522166649
brill,3.960605004
niefs,5.030161781
milko,4.406421243
cutty,3.575920266
wairs,5.371051696
kuris,5.040100017
deash,5.218196487
named,5.071022843
snabs,4.52370171
homme,3.998480393
vibes,4.810555684
profs,4.786755232
bussu,3.002863871
ovoid,3.489724152
houts,5.032770849
mamma,2.603899432
swept,4.706598007
yuans,5.114583861
aggri,3.887662211
hence,4.140782759
calif,4.569102347
skelf,4.526427181
price,4.957912151
hokes,5.144735077
unsod,4.667455558
rarer,4.202656063
clegs,4.954898794
jutty,3.002681238
field,4.603717283
fanny,3.724917047
ledgy,4.45579014
dandy,4.028778075
saids,5.01505289
nided,4.266582683
timps,4.874126503
chott,3.716940792
mohua,4.429314812
pudic,4.074343878
extol,4.211965984
toffy,3.425000487
axone,4.629426838
benty,4.637516398
quipo,3.676797924
kaiks,4.523397278
darga,4.279130554
goops,4.22066572
guyse,4.639545168
perdy,4.760739628
cloke,4.729481547
alews,5.222360613
proke,4.86255917
pized,4.22576972
fazed,4.188643383
hulky,3.889428136
mends,5.166441746
savey,5.113122677
gazer,4.608792581
paals,4.878230772
wigga,3.4769787
nyssa,4.148379752
rimer,4.43939111
vehme,3.486344602
glebe,3.929823061
milfs,4.661692146
burly,4.359358368
roves,5.314194963
ranee,5.175825573
koaps,5.098081374
wawls,4.276833279
addio,4.026746017
gothy,4.147112027
hygge,3.433795024
cryer,4.135344861
borel,5.225378418
strap,5.256990218
keirs,5.478362609
korus,5.094404457
mizen,4.319575231
upsey,4.719679738
resty,5.257519071
liens,5.591758741
leech,4.052300907
skite,5.253359749
charr,4.003404016
bourd,4.55278913
trill,4.294334767
scapa,4.285691595
agape,4.150151626
ohmic,4.032970312
somas,4.897082336
ligge,4.118164177
turps,5.07944171
yirrs,4.520009454
demos,5.301322478
bevel,3.800131247
linen,4.533541643
scyes,4.506169258
wizes,4.561663233
oshac,4.483115304
chola,4.64237076
furth,4.09915368
weeks,4.228029203
doffs,3.897461768
sound,5.085440304
sided,4.740396432
wedgy,3.977251584
crena,5.179651563
login,4.642226124
apode,4.985593064
poted,5.000712341
dikas,5.124413548
horny,4.648303388
nexts,4.740149147
copes,5.365573812
frees,4.760171328
ureal,5.196078497
honor,4.12683897
flock,3.798555962
chaos,5.100899948
moils,5.332038193
puces,5.094608695
dauts,5.37332062
avers,5.196031742
aroid,5.201410472
rover,4.124481662
fauts,5.035701208
quops,4.15310497
leare,5.091824477
ratio,5.341408321
laika,4.310618001
daals,4.948392809
velds,4.845305585
sides,5.037127565
crusy,4.605589399
almes,5.661395177
berms,5.203410736
daker,5.102406957
crout,4.724334634
kaing,4.491009811
shews,4.13738408
furls,4.820436471
hardy,4.721933421
skail,5.136708769
hider,4.935569762
choon,3.686831487
giber,4.757658696
favel,4.442934362
stubs,4.079094542
eerie,4.162587331
potoo,3.268725951
kayak,3.123587321
dills,4.528422545
satis,5.158549224
trape,5.372909661
miaow,4.492487293
rotte,4.748980304
aedes,5.205908762
amove,4.512814733
grege,3.577133669
liths,5.012235669
nanna,2.907658346
shock,4.373702154
troth,4.079649519
pardy,4.800481712
yummo,3.393190929
pukes,4.953248968
doups,4.918522818
bezil,4.19766769
munga,4.317182233
myxos,4.068267412
leafs,5.394495782
mvule,4.1853859
thowl,4.118630809
haars,4.886344396
kinas,5.258419594
clits,5.150563139
pulao,4.786952732
yawps,4.588887437
fehme,3.61138446
krans,5.266592984
murra,4.15137994
serer,4.575878661
ramal,4.417395482
graip,4.719610717
stock,4.568113307
claut,4.751012801
danks,5.102879675
knubs,4.28059757
stunt,4.17860338
dreck,4.421652388
begum,4.029455553
reign,4.987635055
cable,5.022531058
trims,5.227791094
fices,5.031168151
cloys,4.863263224
odism,4.573354018
elder,4.405741405
upled,4.595558145
minny,3.706427723
bodge,4.518279059
ecrus,5.093664677
actor,4.926076447
totes,5.104454982
rhumb,3.817140303
gleed,4.200885706
ukase,4.995474515
maneb,4.919359656
tices,5.536109714
ouija,4.114927708
yufts,4.343806226
houff,3.161046848
owned,4.5427699
pokie,4.815341637
yirds,5.056973591
kavas,4.080782171
alert,5.401220453
gents,5.268512151
ahing,4.401951201
lurgy,4.326127781
mates,5.765780986
llano,4.3002588
maras,4.998169398
saice,5.756296758
lytta,4.038910366
gunge,3.860005701
chits,4.828735258
huffy,2.819095074
tenno,4.446337196
bitty,3.679579614
cigar,4.770475513
fussy,3.499944489
avast,4.019506317
poxed,4.239508275
oggin,3.574921138
redia,5.370552633
jinne,3.745086882
routs,5.433372462
pongo,3.690566751
moory,4.051036149
mooch,3.547843626
spicy,4.533800723
rater,4.908581548
snowy,4.51280012
ratas,5.15098491
ephas,5.010943655
sight,4.656446792
cymol,4.179284539
gaffe,3.844019119
tumpy,4.010518856
media,5.040647615
apers,5.549099578
gnawn,3.385452099
opahs,4.91645748
pants,5.396286696
gucky,3.557266481
cyano,4.630629513
hollo,3.289050498
hotly,4.521219818
flood,3.659468426
limbs,4.744785481
axmen,4.351874739
rusty,4.816358963
scraw,4.8279833
famed,4.674938836
spine,5.314678914
smith,4.725813666
spick,4.350912507
basil,5.150656882
vades,5.200585646
geats,5.592884243
loved,4.610695921
clomp,4.159271836
burro,3.8845682
grubs,4.573703086
pecan,4.91732337
aredd,4.505654866
welly,3.795574162
mylar,4.729209733
bubal,3.769565069
shire,5.464939454
liber,5.045336825
hadji,3.915123868
mongo,3.674696523
flits,4.873842601
carrs,4.88056128
dawed,4.135504303
dregs,5.155839574
sowed,5.111239167
prost,5.068182167
purls,5.094343248
kulan,4.580540811
udder,4.017105203
dhikr,4.239092304
trock,4.447129282
chams,4.76421482
drift,4.40360499
yfere,3.905644683
tiges,5.443645361
richt,4.43545005
piper,4.367681627
jolly,3.327706641
nemns,4.524762083
undue,3.844556349
onion,3.308846953
gaols,5.448227194
fatty,3.785405685
loser,5.655817852
duffs,3.60475048
vants,5.009095338
peace,4.530853991
podia,4.832897245
ripes,5.617021567
swain,4.998182624
suber,5.232769562
fraus,5.042371069
banda,4.05186653
tared,5.596315317
rines,5.829793049
sards,5.0772493
chowk,3.500616124
ettin,4.136687204
shtum,4.433511504
sirih,4.461643531
dicot,4.63406552
mafic,4.204903215
teind,5.116143891
yucks,4.214352635
frise,5.105017879
relay,5.354048167
oaker,5.197199057
daube,4.89000227
torsk,5.017583122
reist,5.598229005
emirs,5.306845472
winey,4.621740713
linga,4.756990595
daunt,4.89123705
towse,5.071531689
imide,3.936770035
jiggy,2.765779787
unwed,4.233613229
rushy,4.46701377
dupes,5.137896039
firms,4.790402403
isles,4.938350026
praos,5.549779476
tenes,5.182259046
rahui,4.741388727
execs,3.723050605
sadly,5.21790024
quays,4.2369659
kalpa,3.97712888
ligne,4.911785416
wheel,3.884255525
hafiz,3.725389994
runts,5.221308313
dowse,4.898815895
datto,4.336288109
smout,4.891189936
yawny,3.597039766
proso,4.345361904
pronk,4.423643252
twilt,3.693517263
bends,5.075904808
buppy,3.087758351
mirky,4.316653332
queys,4.192158282
heron,5.058658022
wedge,3.714652392
yodhs,4.637953657
cornu,4.692784699
appui,3.707180773
crass,4.851761852
adept,4.775414191
minas,5.388339312
hayed,4.841758399
prise,5.377393084
pruta,4.854203558
manky,4.377071656
meres,5.138178704
weepy,3.693385027
sleet,5.089252665
visas,4.432096777
noxal,4.327992773
total,4.494847353
liana,4.526703028
gists,4.45384094
punga,4.333504911
hurts,5.030981324
dooly,4.048447166
fleys,4.703314125
ainga,4.140708545
ryals,5.370561156
tense,4.907354113
talcy,4.800144986
zizel,3.676396848
korun,4.587440101
tears,6.03233867
coirs,5.438293653
nicol,4.644252133
bedel,4.242970566
bayle,4.978550868
kebar,4.842125042
aspen,5.19024512
illth,3.752027848
gouty,4.373289071
honda,4.713298877
tapet,4.606221802
mawky,3.91189512
pheon,4.588424189
sease,4.697965553
mechs,4.780566103
yabas,4.406280988
delfs,4.983412601
biner,5.064121296
hamed,4.874300513
korma,4.743356768
embog,3.997128477
arere,4.22985699
sprue,5.274811092
loppy,3.716830052
beins,5.354672614
mumus,3.247442263
thrip,4.493664045
catty,4.072191073
blatt,4.073556764
grouf,4.072022476
slash,4.554053951
aurei,5.41914406
voted,4.598976251
alowe,4.927057757
ahull,3.884131255
haiku,4.387344888
icily,3.580414814
muntu,3.563661649
aboma,3.812015135
hexes,4.107927436
tumps,4.646464898
foody,3.500972093
kelpy,4.387197282
decry,4.696388555
tores,6.018294372
mount,4.605236818
cheep,3.856026806
creek,4.225013331
vouge,4.249072943
birse,5.346348027
coxes,4.838365504
moyle,4.883684216
wiped,4.429352801
heuch,3.623711922
twank,4.191233494
kames,5.405007646
taler,5.670431532
chivs,4.191366523
biggs,3.864216743
loins,5.470720175
fouds,4.648052637
dooce,4.312515208
imari,4.052099543
poral,5.154391979
hoyed,4.667776633
stows,4.197548779
resus,4.936104067
gowls,4.643087699
dense,4.730932257
ruers,4.815395632
aesir,5.75516624
bezes,4.136214056
vetch,3.957067212
geums,4.910830862
babel,4.376359054
swing,4.340868053
dunts,4.977939703
kotos,4.398141119
vireo,4.911467329
amiga,3.857135659
gowan,4.353937643
thole,5.042596747
basal,4.481164809
looie,4.750277535
ovate,4.780092207
oribi,3.869531143
tenne,3.962341117
tongs,5.078010016
fusty,4.223768147
chunk,3.72536591
yobby,2.706501226
blaws,4.711361432
vises,4.557510391
bunks,4.431938311
trait,4.623562355
candy,4.604995289
flees,4.632230987
iodid,3.301493537
texts,4.118531428
teals,5.938324842
carps,5.342637231
roral,4.647710366
chops,4.60439719
arums,5.235456868
heres,5.061500338
brave,4.649487751
epode,4.111062013
poler,5.276220116
crump,4.034300653
flary,4.524892067
creak,4.89614616
spays,4.383883113
coopt,3.896291844
egret,4.324255092
hapax,3.290879347
zilas,4.943130026
blues,5.230314655
mardy,4.782936014
amuck,3.964948364
evert,3.807484265
kinda,4.591737131
burin,4.563688895
abuts,4.956024123
detox,4.314352582
ixias,3.991554945
syrah,5.09378459
silds,4.677039329
prink,4.380374911
cabre,5.126610182
nests,4.911875985
doomy,3.765813333
sepal,5.558157245
hemps,4.809293561
flown,3.843752572
ricer,4.436499489
ejido,4.098581545
aback,3.397772448
onely,4.794013111
aglus,4.945390382
knaur,4.598473263
sires,5.399865697
musit,4.791191448
drubs,4.757025801
hodad,4.029370376
where,3.941775414
peter,4.61157561
orlop,3.971560967
folia,4.767037955
halms,5.110544742
fears,5.528526544
dhole,4.884721126
certs,5.57768971
jocos,3.745785012
pirai,4.370824406
karns,5.396241459
arcus,5.214114291
amids,5.098889366
giver,4.477274386
krabs,4.958425076
bribe,4.228793718
hoaed,5.16402668
walks,4.82419488
whomp,3.590649417
grove,4.484995698
masse,4.819990855
apods,5.110256949
comby,3.972119011
poind,4.709908255
unpin,3.504946073
tiler,5.43766341
kanji,4.000721369
penis,5.454074972
doors,4.772874248
fudgy,3.504454283
plump,3.311690576
ousel,5.310456181
burke,4.561254691
coups,4.848500911
sinus,4.625667877
shelf,4.655272182
kwela,4.437168727
tabla,4.24843824
evoke,3.563046129
aloof,3.926827218
evils,4.869044443
cohab,4.266875106
abrim,4.588866133
admix,3.838092394
brugh,3.847531167
krait,4.985195229
loner,5.403561239
terry,4.450160589
vuggy,2.706195831
peece,3.559874759
takky,3.783517305
musky,4.107192844
galvo,4.291520864
canto,4.987956804
yedes,4.683270332
wowee,3.521627827
valid,4.579389611
vends,4.785695451
kbars,4.898113062
meths,5.03458349
pushy,4.15909251
pleat,5.147581503
urbex,4.03333477
leaks,5.538190697
skody,4.528254745
mimer,4.3619521
fatso,4.911284721
soupy,4.794498527
stipa,5.157111228
rifty,4.342334884
mooli,4.116338291
odyls,4.743346221
coria,5.192376049
budos,4.755912019
saver,5.411448325
kitul,4.362179608
fayed,4.648444974
mauve,4.530188901
quair,4.289347359
bizzo,2.987386794
bilby,3.564486508
parer,4.802387624
basse,4.726562311
filks,4.550953663
rowme,4.707688496
soles,5.326294213
newts,5.03479467
plaza,3.515243856
caret,5.560990442
bombe,3.914185849
topaz,4.260383516
taint,4.536606609
riems,5.488056674
louis,5.357143714
badly,4.532784231
luxer,4.392459016
justs,3.774403739
shuck,4.115308461
fauve,4.268369496
cooly,3.970228836
chota,4.641243671
herbs,5.122388347
avine,4.7766201
rigid,3.845202424
bream,4.875490843
costs,4.631295971
bemud,4.289614299
guqin,3.506341649
cleck,3.630460378
sport,5.163121793
covet,4.575079742
arris,5.042281029
zymic,3.32631957
ealed,4.75326062
livor,4.495037157
yeuks,4.800522001
queue,2.775397839
falaj,3.357235155
goier,5.249512553
jokol,3.15564544
draws,5.029931773
cinqs,4.249053327
whids,4.393519816
kipps,3.923419411
remex,3.832931929
dojos,3.853043931
filar,4.834459013
cries,5.687539106
spill,4.266809925
forgo,3.632852504
wrawl,3.804717952
clung,4.016356856
cycas,4.201224998
would,4.281048763
byrls,4.792146555
butut,2.794585357
coyed,4.755005341
spurt,4.894448392
jeeps,4.039565564
morse,5.496147617
wrick,3.918808583
pashm,4.578346019
sokol,4.328007559
hunts,4.839299137
blush,4.257522511
appal,3.309686632
haint,4.96592455
unpen,3.850315332
vesta,4.986296856
bulse,4.971443161
ocrea,5.28236774
galls,4.61440405
chant,4.553689282
blown,4.017109471
cease,4.964480443
quids,4.19051265
yerds,5.285861488
users,4.702812214
pions,5.24870706
mozed,4.280502843
toddy,3.833832695
aleck,4.657512474
lotte,4.639306508
fumer,4.45822831
poles,5.662856101
dangs,5.116583248
cadee,4.705075985
talar,4.745327536
sized,4.817944311
shams,4.442902815
hoers,5.504608413
kylin,4.216674508
nabla,4.124556372
orcin,4.716525658
downa,4.519171792
bants,5.292212088
tempt,3.941358431
pares,5.967345992
loxes,5.054639133
micos,4.98051226
gowfs,4.105916011
faver,4.540176112
grace,5.030142473
yerba,4.923864552
limbi,3.4972712
gilet,5.062453296
shlub,4.371185652
claps,5.09053627
foids,4.870783716
ahuru,3.830542227
mulie,4.952110805
daine,5.451289463
obang,4.257973296
bundy,3.992561153
pyats,5.064483944
curet,5.100299989
baste,5.457970308
denar,5.383559687
tight,3.530098156
phuts,4.626700186
chaya,3.643736213
acnes,5.551931285
gibli,3.486003995
buxom,3.400719124
perts,5.574145639
ariot,5.32390989
tsade,5.347866468
saiga,4.720831233
shots,4.549277205
hists,4.47924138
arses,5.42751507
sokah,4.974576922
libra,4.893641159
tufas,4.935870566
cased,5.401106054
tahrs,5.411020629
cedes,4.774932974
cutin,4.503660068
crool,4.155528471
beaus,5.383476953
ictic,2.833891456
shard,5.165135977
pasha,4.237777402
mouls,5.109885926
rants,5.708167965
shrow,4.655520818
tynde,4.717795781
shoed,5.266355402
poake,5.013549507
india,3.987207977
bible,4.144821219
rises,5.267348534
shmek,4.700178771
jasey,4.775376377
taxol,4.471042238
proud,4.589155201
boner,5.132436863
weeps,4.334955251
boast,5.163470454
cycad,3.668017716
pelts,5.4354313
moble,4.81055417
mimeo,4.29438177
scalp,4.919957697
beaks,5.214727589
squeg,4.224099653
typos,4.824461543
torse,5.736935271
pance,5.068567121
celeb,4.177923247
ceaze,4.048671959
tires,5.963365144
faros,5.375549086
snafu,4.65354978
lakes,5.616191856
poopy,3.101749696
regar,4.479844516
botts,4.381234374
blaes,5.633307597
noily,4.803409597
chocs,4.017894429
yelps,5.087017259
vents,4.97812375
bivia,3.466438558
stull,4.216310224
trins,5.432059928
tress,5.037268196
yogas,5.045394401
mucic,3.408062611
holes,5.571291511
droll,4.182734358
adult,4.671429867
mirvs,4.687274434
sweys,4.122049919
swear,5.315871422
rates,6.096242643
botch,4.071330222
roosa,4.843758831
varix,4.06069195
osmol,3.927676649
bucku,2.858780725
feist,5.009759743
puker,4.590148464
heben,4.055564883
beaut,4.957132321
araba,3.515971158
machs,4.806177735
bings,4.664946557
ahead,4.284604516
synth,4.597712488
gaspy,4.617885463
qualm,3.846648987
reate,5.116625299
order,4.432916467
hasks,4.378532811
dobby,3.45871669
dolts,5.325873493
expat,4.177141813
dicts,4.970903058
abbes,4.626226689
ruana,4.424192092
kails,5.40004889
roupy,4.527951419
soras,5.303305203
tench,4.588446144
lepra,5.226618472
ebons,5.074551076
kabab,3.006015081
testa,4.894540252
goles,5.558178506
focus,4.544533806
tapas,4.81787363
baton,4.848815647
poboy,3.561630428
denay,5.084142699
palpi,4.158789521
malwa,3.836354074
muxes,4.555087859
uncut,3.415266165
gater,5.322507244
moons,4.527880374
mauds,5.105484593
mated,5.153824602
squib,3.851596246
oleos,4.827796051
awarn,3.994014086
lamer,5.376849456
kicky,3.24393241
jacal,3.558198321
kirks,4.325974299
mawrs,5.030462729
wowed,3.850186906
zowee,3.680035185
quake,4.086172766
snots,4.745346258
hinky,4.054858823
skull,3.907265368
dhuti,4.247767093
bhang,4.054504294
trees,5.25841512
ennog,3.820781191
dunny,3.593457745
recit,5.119622375
thoft,3.416828259
poaka,4.049404576
dotes,5.649002884
beano,5.075305588
poofy,3.424609085
proul,4.661594208
laddy,4.019838048
totem,4.387180091
flaps,4.801927479
dykes,4.811347642
jawed,4.148038759
equip,3.685364363
cried,5.101067182
wilts,4.930466203
bolus,4.999259574
fetal,4.917312788
jomos,3.756229398
pacos,5.223276217
blins,4.964273228
staph,4.841315024
remet,4.625285835
vairs,5.244583999
romeo,4.545192552
smirk,4.727900121
twill,3.669917383
spank,4.776362312
wards,5.15324139
tween,4.130919931
repeg,4.229306005
pinky,4.11913818
petri,5.06407855
impro,4.341347215
leges,4.847287274
lorry,4.242250575
furzy,3.456394523
stria,5.563044733
seels,4.540541724
diner,5.230005424
defer,4.171491214
coude,4.816593324
withs,4.536141085
etude,4.04797354
pareo,5.515174088
duked,3.766880573
ruled,5.064759666
squab,4.060196827
towel,4.905924174
pyins,4.797536766
dozen,4.462234902
pyres,5.332069853
rouen,5.287437301
alibi,3.953415489
shrub,4.511882228
palki,4.631514528
pints,5.126120326
khaki,3.588899629
awful,3.816697293
siris,4.253811544
stunk,4.531694097
junky,3.345334931
caked,4.802707724
hylas,4.988638609
thrid,4.666437714
almeh,4.91673519
yoked,4.560979622
dutch,3.960482424
umpie,4.469927938
holms,4.919678768
airth,5.057724128
qophs,3.987678482
tuque,3.359770426
rieve,4.20936688
felch,4.131308964
stiff,3.775190485
stoop,4.256758395
baken,4.804106997
snort,5.343387143
houri,4.640148426
coney,4.970971392
flyte,4.429058223
munch,3.863611181
boozy,3.101617656
paean,4.590614299
jaded,3.824060501
garbe,5.05111757
gaudy,4.387946144
dirge,4.999856714
jubes,4.437277507
teeny,4.41419189
ceded,3.574860707
perai,5.373658353
weans,5.38859207
swags,4.149463123
halid,4.893733595
bahut,4.36090172
carny,4.934328045
terns,5.750489235
dealt,5.350766554
hylic,4.033710268
pheer,4.249036971
rehab,4.798585699
slaty,5.315433274
tides,5.585902022
mania,4.388986436
kiwis,3.779232055
blist,4.78962988
basts,4.708865644
belie,4.513474506
swiss,3.423892033
qursh,3.888802841
dirty,4.785969513
gilpy,4.194193745
yeahs,5.251135207
ulvas,4.728666047
oxlip,3.839822947
couch,3.48997946
urned,4.958245614
bumbo,3.283745409
aglet,5.07792607
niton,4.119196556
bulks,4.493342083
miltz,3.997268301
tasty,4.490416181
pucan,4.453697943
gummi,3.286362431
fadge,4.536538036
voids,4.751203319
bavin,4.271272304
henge,4.060335687
punky,3.901202682
abask,3.872576412
thaim,4.623704608
rille,4.687727119
burks,4.632567463
lofty,4.30145577
diddy,2.924222864
marah,4.265596758
looms,4.534741404
nabis,5.266714522
sesey,4.285947236
scowp,4.20196961
zeros,5.136106908
jello,3.731009133
vughs,3.857708415
solve,5.147249848
puris,5.185404027
parka,4.169896619
rewan,4.994973719
agist,4.93311989
javas,3.666705159
lawer,5.139910226
cours,5.217398302
fanks,4.756043103
knarl,4.69066105
proxy,3.882948555
salvo,4.995591479
brith,4.430915179
walie,5.169988854
quoll,3.222361793
monty,4.560243092
pyned,4.55715395
erred,3.850914532
hokum,3.872197372
gazar,3.68789056
highs,3.860237302
kylie,4.668205075
woker,4.608005166
bloop,3.636933959
damns,5.210805319
syped,4.891086286
tatie,4.903598861
kerve,3.899420037
bobos,3.586782206
canon,4.244873443
aging,3.777329822
dulia,4.884008864
think,4.193237792
slump,4.514109196
yogin,4.377227465
scorn,5.059900844
rucks,4.622128347
tulle,4.384886334
ribas,5.40008176
whelm,4.020158595
alter,5.492764781
wynns,3.682794985
cames,5.558673458
beigy,4.418823049
limby,4.105377802
lumpy,3.991145466
thali,4.833029936
labor,4.997813519
